Match_ID,Shipley_Vocab_Raw
Sub0454_S1,34
Sub0456_S1,28
Sub0457_S1,25
Sub0460_S1,28
Sub0461_S1,33
Sub0462_S1,28
Sub0463_S1,36
Sub0464_S1,31
Sub0465_S1,35
Sub0466_S1,34
Sub0467_S1,38
Sub0468_S1,31
Sub0469_S1,23
Sub0471_S1,36
Sub0473_S1,34
Sub0475_S1,29
Sub0476_S1,34
Sub0477_S1,26
Sub0481_S1,27
Sub0482_S1,32
Sub0483_S1,30
Sub0488_S1,23
Sub0490_S1,35
Sub0491_S1,27
Sub0493_S1,37
Sub0494_S1,33
Sub0495_S1,29
Sub0496_S1,37
Sub0500_S1,34
Sub0504_S1,28
Sub0505_S1,30
Sub0510_S1,28
Sub0511_S1,31
Sub0513_S1,29
Sub0515_S1,39
Sub0516_S1,32
Sub0517_S1,27
Sub0521_S1,34
Sub0527_S1,36
Sub0528_S1,28
Sub0530_S1,32
Sub0534_S1,35
Sub0536_S1,37
Sub0537_S1,34
Sub0538_S1,27
Sub0539_S1,28
Sub0540_S1,34
Sub0541_S1,33
Sub0542_S1,35
Sub0546_S1,31
Sub0549_S1,29
Sub0551_S1,35
Sub0553_S1,33
Sub0554_S1,38
Sub0555_S1,31
Sub0556_S1,30
Sub0557_S1,31
Sub0561_S1,35
Sub0562_S1,26
Sub0567_S1,34
Sub0568_S1,27
Sub0569_S1,36
Sub0571_S1,37
Sub0572_S1,32
Sub0574_S1,34
Sub0576_S1,33
Sub0579_S1,33
Sub0580_S1,31
Sub0582_S1,34
Sub0584_S1,37
Sub0585_S1,35
Sub0586_S1,35
Sub0588_S1,30
Sub0589_S1,29
Sub0590_S1,38
Sub0591_S1,32
Sub0593_S1,30
Sub0597_S1,35
Sub0599_S1,28
Sub0600_S1,33
Sub0601_S1,36
Sub0609_S1,34
Sub0610_S1,35
Sub0613_S1,31
Sub0615_S1,28
Sub0616_S1,36
Sub0617_S1,36
Sub0619_S1,33
Sub0620_S1,27
Sub0621_S1,35
Sub0622_S1,40
Sub0625_S1,30
Sub0629_S1,31
Sub0630_S1,34
Sub0631_S1,30
Sub0633_S1,37
Sub0634_S1,35
Sub0635_S1,30
Sub0637_S1,32
Sub0639_S1,35
Sub0640_S1,28
Sub0641_S1,35
Sub0642_S1,30
Sub0647_S1,29
Sub0648_S1,36
Sub0651_S1,39
