SubID,Sex,Age,Handedness,meanFD
sub-031477,F,27,Right,0.05441551
sub-031478,F,22,Right,0.1102893
sub-031479,F,54,Right,0.06623055
sub-031480,F,45,Right,0.06617848
sub-031481,M,21,Right,0.04042785
sub-031482,F,50,Right,0.1487289
sub-031483,M,55,Right,0.1306625
sub-031484,M,61,Right,0.1034008
sub-031485,M,30,Right,0.04253306
sub-031486,M,44,Right,0.05449577
sub-031487,M,27,Right,0.09152406
sub-031489,F,41,Right,0.06434005
sub-031490,M,27,Right,0.1323561
sub-031491,F,47,Right,0.03740312
sub-031492,M,58,Right,0.03127865
sub-031493,M,35,Right,0.08791781
sub-031494,M,53,Right,0.04679953
sub-031495,F,45,Right,0.08288829
sub-031496,F,48,Right,0.05851507
sub-031497,F,61,Right,0.0989871
sub-031498,M,33,Right,0.06579277
sub-031499,M,52,Right,0.08062669
sub-031500,M,48,Right,0.1098635
sub-031501,F,26,Right,0.04156379
sub-031502,F,25,Right,0.04782124
sub-031503,F,25,Right,0.02724701
sub-031504,F,46,Right,0.04350935
sub-031505,F,59,Right,0.08454218
sub-031506,F,27,Right,0.06421089
sub-031507,F,50,Right,0.0753631
sub-031508,M,33,Right,0.05250381
sub-031509,F,26,Right,0.1231941
sub-031510,F,27,Right,0.03671747
sub-031511,M,51,Right,0.1264316
sub-031512,M,56,Right,0.09119574
sub-031513,M,49,Right,0.11668
sub-031514,M,50,Right,0.05623433
sub-031515,F,25,Right,0.08991297
sub-031516,M,29,Right,0.0331388
sub-031517,M,31,Right,0.1107311
sub-031518,M,30,Right,0.04444011
sub-031519,F,30,Right,0.05039987
sub-031520,M,30,Right,0.04128443
sub-031521,M,29,Right,0.05283635
sub-031522,F,37,Right,0.04099812
sub-031523,F,27,Right,0.04170114
sub-031524,M,27,Right,0.03560686
sub-031525,F,47,Right,0.06825096
sub-031526,F,46,Right,0.07991809
sub-031527,M,23,Right,0.06343096
sub-031528,F,45,Right,0.1569816
sub-031529,M,30,Right,0.07644921
sub-031530,F,47,Right,0.1372789
sub-031531,M,56,Right,0.05696235
sub-031532,F,52,Right,0.06671837
sub-031533,F,30,Right,0.06723012
sub-031534,F,32,Right,0.06585474
sub-031535,F,42,Right,0.122271
sub-031536,M,47,Right,0.06700705
sub-031537,M,51,Right,0.18125
sub-031538,F,50,Right,0.160473
sub-031539,F,54,Right,0.1722757
sub-031540,F,26,Right,0.04528388
sub-031541,M,44,Right,0.06844012
sub-031542,M,44,Right,0.08629465
